"Departamento","Produccion.total","latitude","longitude"
"ANTIOQUIA",123047,6.702032125,-75.50455704
"ARAUCA",456558,7.083,-70.75
"ATLANTICO",4379,10.67700953,-74.96521949
"BOLIVAR",130563,8.079796863,-74.23514814
"BOYACA",238414,5.891672889,-72.62788054
"CASANARE",965051,5.404064237,-71.60188073
"CAUCA",2040,2.396833887,-76.82423283
"CESAR",124877,9.53665993,-73.51783154
"CORDOBA",0,8.358549754,-75.79200872
"CUNDINAMARCA",1145,4.771120716,-74.43111092
"HUILA",187837,2.570143029,-75.58434836
"MAGDALENA",2626,10.24738355,-74.26175733
"META",3231436,3.345562732,-72.95645988
"NARIÑO",696,1.571094987,-77.87020496
"NORTE DE SANTANDER",21122,8.09513751,-72.88188297
"PUTUMAYO",150809,0.3673031,-75.51406183
"SANTANDER",423472,6.693633184,-73.48600894
"SUCRE",235,9.064941448,-75.10981755
"TOLIMA",100803,4.03477252,-75.2558271
