"DEPARTAMETOS","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO"
"ANTIOQUIA",17401,17085,17127,16050,14065,13662,13932,13725
"ARAUCA",56602,56602,58441,55830,56930,58644,58590,57648
"ATLANTICO",596,575,559,549,540,532,515,513
"BOYACA",30738,30847,30520,30031,30209,29196,28543,28330
"BOLIVAR",16338,16547,17746,17614,17183,16099,15435,13601
"CASANARE",160532.81,162727,128358,115721,89647,95709,102999,106988
"CAUCA",1769,726,552,0,0,0,0,0
"CESAR",19805,19475,17508,14795,13675,13370,13548,12935
"CORDOBA",3,0,0,0,0,0,0,0
"CUNDINAMARCA",127,178,178,178,111,105,106,109
"HUILA",24158,25233,24817,23707,23358,22231,22410,22186
"MAGDALENA",2912,762,106,120,112,109,111,113
"META",451655,445172,435550,387490,374235,373955,380230,383077
"NARIÑO",75,0,192,0,0,0,0,0
"NORTE DE SANTANDER",987,2713,2868,2939,2783,2594,2421,2378
"PUTUMAYO",30371,25295,19886,16591,16654,15557,13432,14563
"SANTANDER",56980,59259,58922,55545,51020,47400,45382,45611
"SUCRE",3518,30,29,29,29,30,26,29
"TOLIMA",11873,12944,13893,13144,12609,12270,11910,12035
